img_no 	 max_int_value 	 angle 	 angle axis 
532 	 138.504456 	 3.336371 	 Y
533 	 139.857727 	 3.342655 	 Y
534 	 141.442535 	 3.348938 	 Y
535 	 143.002182 	 3.355221 	 Y
536 	 144.404709 	 3.361504 	 Y
537 	 145.680817 	 3.367787 	 Y
538 	 146.777496 	 3.374071 	 Y
539 	 147.451233 	 3.380354 	 Y
540 	 148.138702 	 3.386637 	 Y
541 	 148.772537 	 3.392920 	 Y
542 	 148.994934 	 3.399203 	 Y
543 	 148.763535 	 3.405486 	 Y
544 	 148.191025 	 3.411770 	 Y
545 	 147.383743 	 3.418053 	 Y
546 	 146.418594 	 3.424336 	 Y
547 	 145.223907 	 3.430619 	 Y
548 	 143.452698 	 3.436902 	 Y
549 	 141.958099 	 3.443186 	 Y
550 	 142.877991 	 3.449469 	 Y
551 	 144.171051 	 3.455752 	 Y
552 	 145.039581 	 3.462035 	 Y
553 	 145.452454 	 3.468318 	 Y
554 	 145.316574 	 3.474601 	 Y
555 	 144.809952 	 3.480885 	 Y
556 	 143.816559 	 3.487168 	 Y
557 	 142.459000 	 3.493451 	 Y
558 	 140.765869 	 3.499734 	 Y
559 	 139.485947 	 3.506017 	 Y
560 	 137.920135 	 3.512301 	 Y
561 	 136.409637 	 3.518584 	 Y
562 	 136.200974 	 3.524867 	 Y
563 	 137.264313 	 3.531150 	 Y
564 	 138.354446 	 3.537433 	 Y
565 	 138.911758 	 3.543717 	 Y
566 	 139.743301 	 3.550000 	 Y
567 	 140.510651 	 3.556283 	 Y
568 	 140.948898 	 3.562566 	 Y
569 	 141.184784 	 3.568849 	 Y
570 	 141.125854 	 3.575132 	 Y
571 	 140.877609 	 3.581416 	 Y
572 	 140.422745 	 3.587699 	 Y
573 	 140.110001 	 3.593982 	 Y
574 	 139.544647 	 3.600265 	 Y
575 	 139.784592 	 3.606548 	 Y
576 	 139.900665 	 3.612832 	 Y
577 	 139.724274 	 3.619115 	 Y
578 	 139.286591 	 3.625398 	 Y
579 	 138.729080 	 3.631681 	 Y
580 	 137.888458 	 3.637964 	 Y
581 	 136.640152 	 3.644247 	 Y
582 	 135.162140 	 3.650531 	 Y
583 	 133.888046 	 3.656814 	 Y
584 	 132.940460 	 3.663097 	 Y
585 	 132.077408 	 3.669380 	 Y
586 	 131.397552 	 3.675663 	 Y
587 	 130.512222 	 3.681947 	 Y
588 	 129.371780 	 3.688230 	 Y
589 	 127.883522 	 3.694513 	 Y
590 	 126.065987 	 3.700796 	 Y
591 	 125.391182 	 3.707079 	 Y
592 	 124.892456 	 3.713363 	 Y
593 	 124.839653 	 3.719646 	 Y
594 	 124.638870 	 3.725929 	 Y
595 	 123.701035 	 3.732212 	 Y
596 	 123.781364 	 3.738495 	 Y
597 	 123.399673 	 3.744778 	 Y
598 	 122.885406 	 3.751062 	 Y
599 	 122.862816 	 3.757345 	 Y
600 	 122.876923 	 3.763628 	 Y
601 	 122.858528 	 3.769911 	 Y
602 	 122.675102 	 3.776194 	 Y
603 	 122.292862 	 3.782478 	 Y
604 	 121.607323 	 3.788761 	 Y
605 	 121.308853 	 3.795044 	 Y
606 	 121.113907 	 3.801327 	 Y
607 	 121.634651 	 3.807610 	 Y
608 	 122.712105 	 3.813893 	 Y
609 	 123.751244 	 3.820177 	 Y
610 	 124.921021 	 3.826460 	 Y
611 	 125.886215 	 3.832743 	 Y
612 	 126.639526 	 3.839026 	 Y
613 	 126.953514 	 3.845309 	 Y
614 	 126.466515 	 3.851593 	 Y
615 	 127.162186 	 3.857876 	 Y
616 	 128.328476 	 3.864159 	 Y
617 	 129.011322 	 3.870442 	 Y
618 	 129.312637 	 3.876725 	 Y
619 	 129.272842 	 3.883009 	 Y
620 	 128.765869 	 3.889292 	 Y
621 	 126.837059 	 3.895575 	 Y
622 	 125.022659 	 3.901858 	 Y
623 	 123.872154 	 3.908141 	 Y
624 	 124.173447 	 3.914424 	 Y
625 	 124.017159 	 3.920708 	 Y
626 	 125.120178 	 3.926991 	 Y
627 	 126.418297 	 3.933274 	 Y
628 	 127.010719 	 3.939557 	 Y
629 	 128.504013 	 3.945840 	 Y
630 	 128.620453 	 3.952124 	 Y
631 	 128.562149 	 3.958407 	 Y
632 	 127.534500 	 3.964690 	 Y
633 	 126.497581 	 3.970973 	 Y
634 	 125.417007 	 3.977256 	 Y
635 	 124.447739 	 3.983539 	 Y
636 	 123.931770 	 3.989823 	 Y
637 	 123.592773 	 3.996106 	 Y
638 	 122.892609 	 4.002389 	 Y
639 	 121.822929 	 4.008672 	 Y
640 	 121.742783 	 4.014955 	 Y
641 	 121.330368 	 4.021239 	 Y
642 	 121.480759 	 4.027522 	 Y
643 	 122.268578 	 4.033805 	 Y
644 	 123.306084 	 4.040088 	 Y
645 	 125.288292 	 4.046371 	 Y
646 	 126.548370 	 4.052655 	 Y
647 	 127.989189 	 4.058938 	 Y
648 	 129.721436 	 4.065221 	 Y
649 	 130.729095 	 4.071504 	 Y
650 	 130.889557 	 4.077787 	 Y
651 	 130.423492 	 4.084070 	 Y
652 	 129.288193 	 4.090354 	 Y
653 	 127.505959 	 4.096637 	 Y
654 	 126.248680 	 4.102920 	 Y
655 	 125.272598 	 4.109203 	 Y
656 	 123.994682 	 4.115486 	 Y
657 	 122.110146 	 4.121770 	 Y
658 	 121.324760 	 4.128053 	 Y
659 	 121.145020 	 4.134336 	 Y
